"server","client","test_abbr"
"aioquic","aioquic","SATL"
"aioquic","lsquic","SATL"
"aioquic","mvfst","SATL"
"aioquic","neqo","G"
"aioquic","neqo","SATL"
"aioquic","ngtcp2","SATL"
"aioquic","picoquic","SATL"
"aioquic","quic-go","SATL"
"aioquic","quiche","SATL"
"aioquic","xquic","SATL"
"kwik","aioquic","SATL"
"kwik","lsquic","SATL"
"kwik","mvfst","SATL"
"kwik","neqo","G"
"kwik","neqo","SATL"
"kwik","ngtcp2","SATL"
"kwik","picoquic","SATL"
"kwik","quic-go","SATL"
"kwik","quiche","SATL"
"kwik","xquic","SATL"
"lsquic","neqo","G"
"msquic","neqo","G"
"mvfst","neqo","G"
"mvfst","xquic","G"
"mvfst","xquic","SAT"
"mvfst","xquic","SATL"
"neqo","neqo","G"
"nginx","aioquic","SAT"
"nginx","neqo","G"
"nginx","ngtcp2","SAT"
"nginx","quiche","SAT"
"ngtcp2","neqo","G"
"picoquic","neqo","G"
"picoquic","neqo","SAT"
"quic-go","neqo","G"
"quic-go","ngtcp2","SATL"
"quiche","neqo","G"
"xquic","neqo","G"
"aioquic","aioquic","AST"
"aioquic","lsquic","AST"
"aioquic","mvfst","AST"
"aioquic","neqo","AST"
"aioquic","neqo","EUT"
"aioquic","ngtcp2","AST"
"aioquic","picoquic","AST"
"aioquic","quant","AST"
"aioquic","quiche","AST"
"aioquic","xquic","AST"
"kwik","neqo","AST"
"kwik","neqo","EUT"
"kwik","quant","AST"
"kwik","quiche","AST"
"kwik","quiche","EUT"
"lsquic","aioquic","AST"
"lsquic","aioquic","EUT"
"lsquic","kwik","AST"
"lsquic","kwik","EUT"
"lsquic","lsquic","AST"
"lsquic","lsquic","EUT"
"lsquic","msquic","AST"
"lsquic","msquic","EUT"
"lsquic","mvfst","EUT"
"lsquic","neqo","AST"
"lsquic","neqo","EUT"
"lsquic","ngtcp2","AST"
"lsquic","picoquic","EUT"
"lsquic","quant","EUT"
"lsquic","quant","AST"
"lsquic","quic-go","EUT"
"lsquic","quiche","EUT"
"lsquic","quiche","AST"
"lsquic","xquic","AST"
"lsquic","xquic","EUT"
"msquic","quant","EUT"
"mvfst","neqo","AST"
"mvfst","neqo","EUT"
"mvfst","xquic","AST"
"mvfst","xquic","EUT"
"neqo","neqo","AST"
"neqo","neqo","EUT"
"nginx","aioquic","AST"
"nginx","aioquic","EUT"
"nginx","kwik","AST"
"nginx","kwik","EUT"
"nginx","lsquic","AST"
"nginx","lsquic","EUT"
"nginx","mvfst","AST"
"nginx","mvfst","EUT"
"nginx","neqo","AST"
"nginx","neqo","EUT"
"nginx","ngtcp2","AST"
"nginx","ngtcp2","EUT"
"nginx","picoquic","AST"
"nginx","picoquic","EUT"
"nginx","quic-go","AST"
"nginx","quic-go","EUT"
"nginx","quiche","AST"
"nginx","quiche","EUT"
"nginx","xquic","AST"
"nginx","xquic","EUT"
"picoquic","neqo","EUT"
"quant","picoquic","EUT"
"quic-go","picoquic","AST"
"xquic","neqo","AST"
"xquic","neqo","EUT"
aioquic,neqo,T
kwik,neqo,T
lsquic,neqo,T
msquic,neqo,T
mvfst,neqo,T
mvfst,xquic,T
neqo,neqo,T
neqo,quant,T
nginx,neqo,T
ngtcp2,neqo,T
ngtcp2,quant,T
picoquic,neqo,T
quant,neqo,T
quant,quant,T
quic-go,neqo,T
quiche,neqo,T
xquic,neqo,T
xquic,quant,T
